CompanyID,Description,TargetWorkCatergoryIDs
1,"Celebrating 40 years in business! Established in 1976, we have been providing an exceptional level of service to the industry and commercial premises. We offer a wide selection of electrical services including: ~  	New Electrical Installations/Rewires	 	NICEIC test & inspection 	Up-grading existing systems	 	Electrical Installation Condition Reports     Telecommunications      Portable Appliance Testing     Data cabling, fibre & networks      Fire alarms & Intruder Alarms       Warden & Nurse call systems       Emergency lighting, Design, Installation & Testing         Access & door entry          Security lighting           A complete design service            Maintenance","[61, 62, 63, 70, 89, 91]"
2,"High Point Construction is a well-established family run groundwork, civil engineering and RC structures business, offering a range of services to the construction industry. The foundation for our success lies in leveraging our experience and resources to add value through innovation. Our value engineering approach allows us to reduce costs by finding new ways of solving old problems. Every project we take on receives the full attention from all members of our team regardless of size or scope; High Point Construction Limited places high importance on flexibility, originality and dedication when striving towards achieving goals set out at the start. We understand that deadlines are important as well as budget limits which is why we strive for creative designs with unique solutions while still delivering what was promised initially. Works undertaken include both commercial and domestic projects such as:   Groundwork & Civil Engineering  Reinforced Concrete Frame   Ground Remediation   Ground Stabilisation   Demolition   Site Clearance Works",[47]
3,"West Yorkshire Render & Flooring Ltd are a specialist rendering and floor screeding contractor based in Huddersfield. We offer modern render systems such as monocouche, machine applied render, polymer render, silicone & acrylic render along with fast setting Polymer Screeds, Anhydrite Screeds and other self levelling and liquid screeds. Our services have been sought by many house builders, contractors and private developers across the nation due to our extensive range of machinery which allows us to take on projects of any size or type.","[3, 4]"
4,"We are access experts based in Manchester and Northampton. We usually work within a 50 mile radius of our depots, but we can travel anywhere across the UK. Our primary focus is on scaffolding services for access and support, while our Manchester depot also offers netting solutions. All of our staff members and scaffolders are directly employed by us, CISRS registered and fully qualified. We have an ongoing commitment to training with numerous trainees at different stages of their development journey with us. Our team has extensive experience which they use to help you plan your requirements during tender stage if needed - just ask!  The philosophy behind our business is providing value for money while ensuring that all structures erected comply with current regulations. You can trust that when we say we'll be there, then it will happen; plus any job done by us will always be right first time round! A dedicated member of staff is assigned to each contract who's available should you need assistance or advice throughout the process - making sure your experience working alongside us goes as smoothly as possible every single time!",[25]
5,"Premier PAT Testing Ltd has established a well-respected reputation for dependable electrical safety inspections across the UK, with an impressive list of satisfied customers in both public and private sectors. Based out of our contact centre in Leeds, we employ 90 engineers located all over Britain to ensure fast response times and cost-effective solutions. Our inspectors are highly qualified professionals who have extensive experience testing various types of businesses. We guarantee clients professional service that meets top standards for electrical safety - performing more than 5 million tests annually! In addition to our field teams, 205 staff members work at our Leeds office on Central Contracts Management Team (managing client accounts), Quality Control/Customer Relations team, Administration team, Operations team Vehicle Fleet Team – as well as additional engineers.","[89, 91, 69, 71]"
6,"Smith Constructions primary business activity is planned and responsive maintenance for all trades operated in diverse public sector property. Our expertise and success within this sector are very much attributable to the strong partnering relationship developed over 40 years that we have been working with public sector organisations and local Councils. We have adopted a partner approach with our long term clients and our existing arrangements and successful KPI's demonstrates this approach. We promote early contract involvement and the preparation of work schedules to assist with the client's priorities.   We have a highly skilled and stable workforce that has vast experience of working within a multi-cultural and diverse community. Smith Constructions have carried out many general building works programmes over the years including planned maintenance on a range of; corporate buildings, schools, occupied domestic properties, residential care homes as well as sheltered housing schemes .  Our projects have ranged from general refurbishment works to new builds across all areas of work categories including; general building, adaptations, installations such as kitchens & bathrooms , windows & doors , electrical wiring , plumbing fixtures , gas servicing , plastering jobs , glazing repairs/installations pre-paint repairs painting & decorating tasks tiling roofing flooring joinery pieces plus other structural repair services .","[8, 18, 38, 39, 84, 86]"
7,"Please find below details about us.  If you require any further information or wish for me to come and meet with you, please contact me. If you have any tenders we could look at or any future works, we will be happy to submit our price.    Midlands based with Local and National coverage, Provenance is an obvious choice for your electrical and mechanical needs. Our friendly, experienced Engineers are on hand to help and serve your M&E contracts, whilst being fully Health & Safety coherent.  Not only will you have a dedicated Contracts Manager assigned to you, but you will also receive a speedy yet quality service. Our company is a fully approved NIC EIC Member which provides assurance to our clients that the installation work is part of the Guarantee of Standards Scheme and covered by an Insurance Backed Warranty Able and experienced in providing services to Local Authority Housing Commercial Industrial-Services We Offer:   PAT Testing Electrical Installations Mechanical Installations Repair & Maintenance Project Management Design & Build Alarm Systems Installation CCTV Installation Testing & Commissioning","[64, 65, 66, 88, 95]"
8,"With over two decades of experience in the fencing and landscaping sector, JKM Fencing and Landscaping Ltd. offers a comprehensive service to both commercial and private customers. Our high-quality yet cost-effective solutions range from domestic fencing and landscaping to large scale projects such as housing developments, housing associations, retail parks etc. We have been working on long term contracts with some well known names in the construction industry due to our expertise, professionalism and competitive rates which are all provided by qualified professionals. Operating mainly within West Midlands & East Midlands regions we have built up an impressive client base who come back time after time for their fencing & landscaping requirements.",[50]
9,"Frostwood Construction was founded in 1924 and has offices in Caterham, Surrey and London, SW1. The company boasts a turnover of £50 million with project values ranging from £1 million to £15 million. We specialize in Residential, Commercial, Affordable Housing, Education, Healthcare Conservation Leisure and Community schemes. Our experienced staff are well-versed across the board; they can handle anything from refurbishing listed buildings to creating high specification contemporary builds or remodelling existing structures. Traditional values remain important but we also strive for innovation by keeping up with the latest technology so that our clients receive sustainable projects of superior quality every time. Our team works together on each new venture to build strong relationships which often leads us back into repeat business opportunities down the line","[28, 37, 38, 39, 40, 92]"
10,"Established on 23rd of September 2020, the company may not have a long history but has over 12 years experience in passive fire protection. We are proud to boast that we have only advantages compared to other companies as we've been sub-contractors for many years from the Middle East and EU. Furthermore, our team consists of professional supervisors and installers who can be available at any time. Our services comply with all standards in UK so if you're interested in giving us an opportunity then don't hesitate - contact us today!","[16, 14, 15]"
